ID_FAZENDA,SATELITE,TIPO_CULTURA,AREA_FAZENDA_ACRES,TIPO_IRRIGACAO,TIPO_SOLO,ESTACAO,FERTILIZANTE_UTILIZADO_TON,PESTICIDA_UTILIZADO_KG,PRODUTIVIDADE_TON,CONSUMO_AGUA_M3,TEMPERATURA_MEDIA_C,UMIDADE_SOLO_PCT,INDICE_NDVI,RISCO_AMBIENTAL
FAZ_00001,TerraScan_X,Tomate,476.39,Gotejamento,Siltoso,Inverno,15.07,183.45,67.13,4947.21,13.2,89.37,0.914,0
FAZ_00002,AgroSat_BR,Tomate,418.12,Sequeiro,Calcario,Inverno,18.6,158.27,54.37,4326.28,18.43,74.04,0.781,0
FAZ_00003,Gaia_Vision,Soja,472.13,Aspersao,Franco,Primavera,9.33,120.17,57.44,5567.2,32.61,68.69,0.657,0
FAZ_00004,AgroSat_BR,Trigo,411.94,Aspersao,Organico,Inverno,13.92,89.26,55.25,5551.9,9.84,81.63,0.656,0
FAZ_00005,AgroSat_BR,Milho,441.38,Inundacao,Calcario,Primavera,22.12,147.98,51.13,7991.19,30.18,55.45,0.48,1
FAZ_00006,OrbSat_Field,Soja,484.3,Gotejamento,Siltoso,Primavera,9.0,55.31,52.59,2961.01,26.29,80.93,0.692,0
FAZ_00007,Gaia_Vision,Soja,310.23,Aspersao,Argiloso,Inverno,9.77,40.93,48.73,2464.41,5.0,75.29,0.754,0
FAZ_00008,Gaia_Vision,Milho,474.59,Sequeiro,Franco,Primavera,15.12,145.38,47.26,4545.04,21.88,86.71,0.743,1
FAZ_00009,Gaia_Vision,Trigo,361.65,Inundacao,Argiloso,Verao,6.43,125.44,39.58,6602.32,25.9,49.0,0.536,1
FAZ_00010,AgroSat_BR,Trigo,255.26,Aspersao,Calcario,Outono,6.06,77.71,45.71,2079.61,28.57,63.51,0.564,0
FAZ_00011,TerraScan_X,Tomate,465.32,Inundacao,Arenoso,Inverno,14.04,103.83,49.73,8391.63,17.59,62.05,0.604,0
FAZ_00012,Gaia_Vision,Soja,309.91,Sequeiro,Argiloso,Inverno,6.71,45.36,53.86,3420.34,18.27,71.82,0.836,0
FAZ_00013,AgroSat_BR,Soja,328.43,Gotejamento,Argiloso,Outono,10.87,66.99,54.11,3178.19,19.72,77.62,0.885,0
FAZ_00014,OrbSat_Field,Cenoura,530.18,Inundacao,Siltoso,Inverno,16.03,174.49,45.43,9189.35,25.5,66.12,0.665,1
FAZ_00015,TerraScan_X,Cana_de_Acucar,422.12,Gotejamento,Arenoso,Inverno,14.38,59.48,65.71,5107.54,11.62,85.92,0.782,0
FAZ_00016,OrbSat_Field,Soja,614.35,Sequeiro,Calcario,Outono,12.56,106.79,73.11,6550.7,21.86,60.8,0.583,1
FAZ_00017,TerraScan_X,Arroz,658.49,Manual,Organico,Primavera,12.35,58.26,61.36,6225.59,21.25,68.0,0.782,0
FAZ_00018,AgroSat_BR,Cana_de_Acucar,617.03,Manual,Organico,Verao,30.29,137.24,63.0,8861.8,27.9,65.93,0.544,1
FAZ_00019,Sentinel_Agro,Arroz,446.99,Sequeiro,Organico,Primavera,12.99,35.93,50.85,3607.92,17.26,66.46,0.697,0
FAZ_00020,TerraScan_X,Trigo,379.33,Gotejamento,Franco,Verao,10.09,17.76,49.92,1929.72,28.51,65.53,0.683,0
FAZ_00021,OrbSat_Field,Cana_de_Acucar,629.67,Gotejamento,Organico,Outono,15.17,168.88,82.31,8994.79,21.88,73.07,0.709,1
